ProjectUnit = Lava Point Fuels
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,00Pre-Attr
Browns 105,0.00
Browns 195,0.00
Browns 255,0.00
Browns 345,1.47
Browns 60,4.41
Mean,1.18
