ProjectUnit = Lava Point Fuels
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,00Pre-Attr
Browns 105,0.40
Browns 195,0.71
Browns 255,0.62
Browns 345,0.72
Browns 60,0.90
Mean,0.67
